ID,SKU,Seal Type,Material,Temp,Pressure,Description,ID,OD,L,HT,CS
37393,SR-2.00X1.37,U-Seal Retainer Rings,Acetyl,-22 to +212 F,0-14.8 PSI,These rings are split for ease of installation and are in a groove. Their use is primarily to retain single acting piston seals. Commonly used with UFN style piston seals.,0,2,0,0.13,0
37407,VH-150,Spiral Internal Retainer Rings,Steel,NA,NA,NA,1.559,0.025,0,0.088,
37519,WS-137,Spiral Internal Retainer Rings,Steel,NA,NA,NA,0,1.308,0,0.043,0.095
37571,XAN-112,Ea-n XAN Series External Retainer Rings,Steel,NA,NA,NA,0,1.06,0,0.05,0.093
37584,DRTU12-1.00-25,Heavy Duty Rod U-Seal,92A Urethane,-65 to +230 F,"0-6,000 PSI","These seals are specifically designed with a second lip on their inside diameter and engineered to attain maximum life and reliability in dynamic rod sealing. This feature results in reduced leakage, less friction, increased stability, and prevents air and contaminants from entering the cylinder.",1,1.25,0,0.25,0.125
37641,DRU12-0.75-12,Heavy Duty Rod U-Seal,92A Urethane,-65 to +230 F,"0 to 6,000 PSI",These seals are specifically designed to seal on their inside diameter and engineered to attain maximum life and reliability in dynamic rod sealing.,0.75,1,0,0.125,0.125
37720,DRUB25-2.50-37,Heavy Duty Rod U-Seal,92A Urethane,-65 to +230 F,"0 to 6,000 PSI",These seals are specifically designed to seal on their inside diameter and engineered to attain maximum life and reliability in dynamic rod sealing.,2.5,3,0,0.375,0
38065,CSWM-100X113X6,Metric Snap-In Wipers,Nylon,-40 to +212 F,0-14.8 PSI,This wiper is a heavy duty scraper molded from a hard nylon material.,100,113,0,6,0
38134,M300-130,Internal Retainer Rings (Tru-Arc Type),Steel,NA,NA,NA,0,137,0,4,0
38150,M310-13,External Retainer Rings(Tru-Arc Type),Steel,NA,NA,NA,0,11.9,0,1,0
38160,MBB-60X80X19.6,Metric Piston Brushing,Bronze,NA,NA,"Installed as 2 halves in a closed groove, these bushings are found in many Japanese lift trucks.",60,80,0,19.6,0
38164,MBN-100X10X3,Metric U-Seal Back-Up Rings,Nylon,-67 to +212 F,"0-5,000 PSI",Hard nylon back-up rings for use with u-seals.,100,0,0,3,10
38223,MBNP-100X2.5X2.5,Metric Piston Seals Anti-Extrusion Rings,Nylon,-65 to +220 F,"0-5,000 PSI","Place in adjacent grooves on each side of style MPS piston seals, they prevent cold flow or extrusion at high pressure.",100,0,0,2.5,2.5
38241,MBR-70X6X6,Metric Piston ring,Bronze,- 100 to + 500,"0-5,000 PSI",NA,0,70,0,6,0
38244,MBT-100X10X3SB,Metric Back-up Ring,PTFE,- 100 to + 500,"0-5,000 PSI","Commonly used with metric o-rings, these back up rings are made of virginPTFE unless suffix specifies otherwise.",100,0,0,3,10
38588,MBU-100X2.5X1.3,Metric Back-up Ring,Urethane,-40 to +200 F,"0-5,000 PSI","Commonly used with metric o-rings, these back up rings are made of urethane unless suffix specifies otherwise.",100,0,0,100,2.5
38659,MCKB-100X114X8,Metric Metal Clad Wiper,Nitrile Lip Steel Case,-20 to +250 F,0-14.8 PSI,"Utilizing a double lip of Nitrile bonded to a carbon steel case, this wiper prevents contaminant ingression at the wiping lip and around the outer case.",100,114,0,8,0
38688,MCKBI-100X114X8,Metric Metal Clad Wiper,Urethane Lip Steel Case,-30 to +200 F,0-14.8 PSI,"Utilizing a double lip of urethane bonded to a carbon steel case, this wiper prevents contaminant ingression at the wiping lip and around the outer case.",100,114,0,8,0
38720,MCPS-100X85X12,Metric Four Piece Piston Seals,PTFE Piston Seal Nylon Back-up Nitrile Energizer,-40 to +220 F,"0-6,000 PSI","This capped piston seal of a filled PTFE cap, a T-shaped NBR energizer, and two split nylon back-up rings. It exhibits low friction, high seal ability, and excellent resistance to extrusion and wear.",85,100,0,12,0
38777,MCW-100X114X8,Metric Metal Clad Wiper,Urethane Lip Steel Case,-30 to +200 F,0-14.8 PSI,This wiper is a single lip design molded from high grade urethane and bonded to carbon steel case.,100,114,0,8,0
38814,MCWA-100X110X7,Metric Metal Clad Dust Seals,Urethane Lip Steel Case,-30 to +200 F,0-14.8 PSI,This seal is a single cased with a urethane lip and used to exclude contaminants from cylinder link pins.,100,110,0,7,0
38834,MCWE-100X110X7,Metric Metal Clad Wiper,Urethane,-40 to +220 F,0-14.8 PSI,This wiper is molded from high grade urethane and bonded to a carbon steel case in a single lip design.,100,110,0,7,0
38867,MCWI-100X114X8,Metric Metal Clad Wiper,Urethane Lip Steel Case,-30 to +200 F,0-14.8 PSI,This wiper is a single lip design molded from high grade urethane and bonded to a carbon steel case.,100,114,0,8,0
38918,MCWN-100X110X7,Metric Metal Clad Wiper,Nitrile Lip Steel Case,-30 to +220 F,0-14.8 PSI,This wiper is a single lip design molded from high grade Nitrile and bonded to a carbon steel case.,100,110,0,7,0
38995,MCWS-32X42X7,Metric Metal Clad Wiper,Urethane Lip Steel Case,-40 to +200 F,0-14.8 PSI,"Molded from high grade urethane and bonded to a carbon steel case, this wiper utilizes a stainless steel finger spring to maintain a high radial force on the rod.",32,42,0,7,0
39005,MDK-100X110X2.15,Metric Snap-in Wiper,Nitrile,-22 to +212 F,0-14.8 PSI,"Molded in Nitrile, this wiper is for light duty applications.",100,110,0,2.15,0
39019,MDS-100X115X4,Metric Link Pin Dust Seals,Nitrile Seal Steel Case,-40 to +220 F,0-14.8 PSI,"Molded in Nitrile with a steel case, this seal is double cased and used to exclude contaminants from cylinder link pins. The""U"" suffix indicates a urethane lip.",100,115,0,4,0
39043,MDU-100X105X20,Metric Rod Brushings,Bronze Lining PTFE/Lead overlay Steel Backing,-325 to +536 F,"Compressive Strength=44,000 PSI","With a steel body, bronze liner, PTFE/ lead overlay, these bushings posses excellent wear ability and tremendous compressive strength.",100,105,0,20,0
39168,MGB-10X2,Metric Flexible Guide Bearings,60% Bronze Filled PTFE,-50 to +390 F,"Compressive Strength= 1,700 PSI","Manufactured to a large variety of widths and thickness, this material affords low friction capabilities but with low compressive strength. The material also has the capability of ingesting metal particles and keeping them from the seal area.",0,0,0,10,2
39189,MGF-13X2.5,Metric Flexible Guide Bearings,Fabric Reinforced Polyester,-30 to +265 F,"Compressive Strength= 24,000 PSI","Fabricated from woven fabric and polyester resins, this material cab be cut to length to fit rod or piston grooves.",0,0,0,13,2.5
39196,MHMU-110X125X9.6U,Metric Rod U-Seal,Urethane,-50 to +230 F,"0-5,000 PSI","The MHMU style multi-lip rod u-seal combines the pressure-compensating, uni-directional characteristics of a u-seal with the multi-lip sealing effectiveness of compression-type stacked packings, Made from Premium material, the MHMU utilizes several sealing lip edges for dry rod performance while minimizing friction. The multi-lip design maintains a critical sealing edge even though increasing pressure moves the line of contact down toward the heel.",110,125,0,9.6,0
39210,MHP26-045,Metric U-Type Two Piece Piston Seals,Nitrile Seal Nylon Back-Up,-20 to +212 F,"0-3,000 PSI","Molded From 70A Nitrile for high seal ability, they employ a hard nylon anti-extrusion ring as a companion piece.",27,45,0,12.1,0
39233,MHP27-040,Metric U-Type Piston Seals,Nitrile Seal Nylon Back-Up,-20 to +212 F,"0-3,000 PSI","Molded From 70A Nitrile for high seal ability, they employ a hard acetyl anti-extrusion ring as a companion piece.",25,40,0,12,0
39238,MHP29-070,Metric U-Type Two Piece Piston Seals,Nitrile Seal Nylon Back-Up,-40 to +200 F,"0-3,000 PSI","Molded from Urethane for resistance to extrusion and abrasion, they employ a hard nylon anti-extrusion ring",55,70,0,12,0
39241,MIR-100X113X4,Metric Buffer Seals,Urethane,-40 to +200 F,"0-5,000 PSI","Molded in polyurethane, this buffer seal is a simple flat, washer-like profile.",100,113,0,4,0
39263,MKPD-100X84.5X6.3,Metric Two Piece Piston Seals,Urethane & Nitrile Expander,-22 to +210 F,"0-5,800 PSI","A double acting piston seal with many features: Two compact seal edges to concentrate the load against the dynamic surface, a cavity between the two external seal edges to retain fluids, side grooves to allow pressure to load the energizer in all working conditions, high sealing performance at low pressure, excellent wear-resistance, and high resistance against extrusion.",84.5,100,0,6.3,0
39275,MKR-06X11X2,Metric Buffer Seals,Filled PTFE Buffer Rubber Energizer,-40 to +220 F,"0-5,000 PSI","Molded PTFE with a rubber energizer, this seal absorbs the shock of pressure spikes to protect the rod seals.",6,11,0,2,0
39338,MNBR-100X115.5X5.9,Metric Buffer Seals,Nylon/ PTFE Buffer Rubber Energizer,-40 to +220 F,"0-5,000 PSI","Molded in PTFE with rubber energizer and nylon anti-extrusion ring, this seal absorbs the shock of pressure spikes to protect the rod seal.",100,115.5,0,5.9,0
39354,MNCF-070,Metric Five Piece Piston Ring,Nitrile Seal Acetyl Bearing,-22 to +190 F,"0-5,000 PSI","For two piece piston, this seal incorporates a Nitrile / fabric seal with two spilt bearings.",56,70,0,22,0
39361,MOR-10.1X1.6-90D,Metric O-Ring,90A Duro Nitrile,-40 to +220 F,0-3000 PSI,Metric O-rings are offered in minimum package quantities. Reduced Prices are available for large quantity purchases.,10.1,0,0,0,1.6
40240,MOS-100X125X12TC,Metric Oil Seal,Rubber Seal Steel Case,-40 to +225 F,10 PSI @ 1000 FPM,"Many more sizes, styles and materials in metric oil seals are available. Please consult with our sales team if you need a size that is not listed. If no size exist SCS, Inc. can custom CNC your seal to meet any requirements.",100,125,0,12,0
40487,MPS-100X6X3.5,Metric Two Piece Piston Seals,PTFE Piston Seal Nitrile Energizer,-40 to +230 F,"0-5,000 PSI","Molded from filled PTFE and machined to close tolerance, theses seals feature low friction and excellent wear characteristics. Nitrile o-rings are used for energizers.",100,6,0,0,8.83
40593,MPS2000-100,Metric Two Piece Piston Seals,PTFE Piston Seal Nitrile Energizer,-40 to +230 F,"0-5,000 PSI","Molded from filled PTFE and machined to close tolerance, theses seals feature low friction and excellent wear characteristics. Nitrile o-rings are used for energizers.",0,95,0,7.9,12
40622,MPSA-025,Metric Five Piece Piston Seals,Nitrile Piston Seal Poly acetyl Anti-Extrusion Ring,-22 to +212 F,"0-6,000 PSI","Designed to fit one or two piece piston, this piston seal employs' a Nitrile seal for high seal ability., nylon split back-ups for extrusion resistance, and two split bearing rings. No further support bearings are required.",15,25,0,12.5,0
40714,MPSA-58-040,Metric Three Piece Piston Seal,Nitrile Piston Seal Poly acetyl Anti-Extrusion Ring,-22 to +212 F,"0-5,000 PSI","With a Nitrile seal bonded on each side by fabric material, this seal incorporates 2 full depth ""L"" bearings to form a very strong assembly. This seal requires a two piece piston.",25,40,0,24,0
40729,MPSA-59-040,Metric Three Piece Piston Seal,Nitrile Piston Seal Poly acetyl Anti-Extrusion Ring,-22 to +212 F,"0-5,000 PSI",This style is designed for two piece piston. The seal is a molded Nitrile rubber element with bonded rubberized fabric reinforcements and two anti-extrusion poly acetyl bearings.,24,40,0,18,0
40747,MPSA-65-025,Metric Three Piece Piston Seal,Nitrile Piston Seal Poly acetyl Anti-Extrusion Ring,-22 to +212 F,"0-3,000 PSI","Consisting of a Nitrile seal and two split acetyl bearings, this assembly is used in light duty applications and can be installed on one or two piece piston.",17.5,17.5,0,8.5,0
40755,MPSB-032B,Metric Three Piece Seal,Fabric Reinforced Piston Seal Poly acetyl Anti-Extrusion Ring,-22 to +212 F,"0-5,000 PSI","Incorporating a Nitrile/ Fabric with two spilt bearings, this assembly affords low friction and high strength for one or two piece piston.",24,24,0,10,0
40772,MPSU-100X6X3.5,Metric Two Piece Piston Seals,"Glass/PTFE Filled Polyester Seal, Rubber Energizer",-40 to +230 F,"0-5,000 PSI","Molded from tough, wear resistance polyester with additives of 5% glass and 5% PTFE, these seals are totally interchangeable with style MPS seals of the same dimension. Nitrile o-rings are used as energizer.",0,100,0,8.83,8.83
40805,MPU-100X110X8,Metric Piston Seals,Urethane,-22 to +212 F,"0-5,000 PSI","Molded from high quality urethane, the MPU is designed specifically for piston applications.",100,110,0,8,0
40860,MRB-50X56X18,Metric Rod Brushings,Nylon,-40 to +250,"Compressive Strength=25,000 PSI Tensile Strength= 27,000 PSI","Molded from a sturdy nylon material, these bushings are found chiefly in Ford metric cylinders.",50,56,0,18,0
40865,MRT-100,Metric Cushion Seal,Nylon / Reinforced Phenolic,N= -67 to +212 F P=-67 to +248 F,"0-5,000 PSI",The MRT Style Cushion split design allows the seal to self align. The MRT cushion is available in Nylon or Reinforced Phenolic. If a specific material is required please consult our sales team.,95,100,0,6,0
40907,MRTS-12X20X5.8,Metric Rod U-Seal,Urethane,-22 to +212 F,"0-5,000 PSI","Designed specifically for rod applications, the short lip design and solid 'U' cavity provide high seal ability at low pressure. At the heel, a secondary lip provides stability, friction-reducing lube retention, and contamination resistance.",12,20,0,5.8,0
40939,MRTU-100X115X12,Metric Rod U-Seal,Urethane,-40 to +225 F / E: -22 to +212 F,"0-5,000 PSI","Molded in a tough urethane, this seal employs an additional lip near the heel. The twin lip design provides stability friction-reducing lube retention, and some contaminant resistance. VME -- Secondary lip is further from heel than standard MRTU. E= European Urethane.",100,115,0,12,0
41051,MRTUB-100X115X13,Metric Super-Duty Rod U-Seals,94A Urethane Seal Rubber Energizer Poly acetyl Anti-extrusion Ring,-50 to+230 F,"0-6,000 PSI","Premium single-acting polyurethane rod seal incorporates an NBR energizer to seal at low pressures. The twin lip design provides stability and friction-reducing lube retention for dry rod sealing, and the included hard backup ring resists extrusion. MRTUB is capable of pressure up to 10,000 psi in approved applications.",100,115,0,13,0
41081,MRU-100X113X12.5-E,Metric Rod U-Seals,Urethane,-65 to +230 F / E: -22 to +212 F,"0-5,000 PSI","Molded in a tough urethane, this rod u-seal fits tightly in the groove while providing increased radial force on the rod. E= European Urethane.",100,113,0,12.5,0
41239,MRUB-100X115X13.2,Metric Rod U-Seals W/Back Up Rings,urethane Seal Nylon Back-Up,-65 to +220 F,"0-5,500 PSI",Molded in a tough urethane this rod seal fits tightly in the groove while providing increased radial force on the rod. The employment of a nylon back-up makes it highly extrusion resistant. GT= Green Tweed Seal,100,115,0,13.2,0
41252,MRUN-100X115X10,Metric Rod U-Seals,Nitrile,-8 to +212 F,"0-2,000 PSI W/O Back-Up & 0-3,000 PSI W/ Back-Up","The MRUN rod u-seal is designed with improved oil resistance and compression set versus urethane seals. The addition of a u-seal back-up ring will increase the pressure range for the seal from 2,000 to 3,000 PSI",100,115,0,10,0
41274,MSBR-100X110X6.3,Metric Buffer Seals,Nylon Buffer Rubber Energizer,-40 to +220 F,"0-5,000 PSI","Molded in nylon with a rubber energizer, this seal absorbs the shock of pressure spikes and relieves back pressure by way of slots on the pressure side of the energizer.",100,110,0,5.9,0
41283,MSL-32,Metric Spiral internal Retainer Rings,Steel,-22 to +550 F,"0-10,000 PSI",Ideal for retaining rod glands or bushings. Custom sizes available.,32,34.5,0,0.8,3
41288,MSMR-100X120X30,Metric Rod Seal W/Back-Up Rings,"NBR Seal Acetyl Back-Up Header Of Urethane, Acetyl or Fabric Reinforced Rubber",-22 to +212 F,"0-10,000 PSI","With redundant Nitrile lips and an acetyl back-up, this seal features high stability and extrusion resistance.",100,120,0,30,0
41317,MSPR-100X4X4.7,Metric Piston Rings,Cast Iron,-22 to +550 F,"0-10,000 PSI","Machined from iron, most employ an overlapped joint which allows the passing of ports.",0,100,0,4,0
41335,MSR-104.5X85,Metric U-Seal Retainer Rings,Acetyl,-22 to +212 F,"0-10,000 PSI",These rings are split for ease of installation and are retained in a groove. Their use is primarily to retain a single acting piston seals. Commonly are used with MUFN style piston seals.,85,104.5,0,6.48,0
41343,MSW-100X113X7,Metric Snap-In Wipers,Urethane,-30 to +200 F,0-14.8 PSI,"Molded in Urethane, this wiper features a lip on the outer diameter to aid in contaminant exclusion.",100,113,0,7,0
41363,MUFN-100X115X12EI,Metric Rod U-Seal W/Back-Up Rings,NBR 80 Duro Seal NEO-FAB Heel Acetyl Anti-Extrusion Rings,-22 to +212 F,"0-6,000 PSI","Incorporating a rubber seal lip, a rubberized fabric heel, and an acetyl back-up ring, this seal provides excellent seal ability and high extrusion resistance.",100,115,0,12,0
41455,MUFN-100X115X12P,Metric Symmetrical U-Seal,Nitrile/ Fabric Base,-22 to +212 F,"0-2,900 PSI","Incorporating a rubber seal lip and a rubberized fabric heel, this seal provides excellent seal ability and high strength.",100,115,0,12,0
41531,MUFN-30X50X14PWO,Metric Piston Seals,Nitrile/ Fabric Base Acetyl Bearing,-22 to +212 F,"0-6,000 PSI","Constructed of a rubber seal lip with a rubberized fabric heel, these seals feature a poly acetyl bearing ring. These seals offer excellent sealing ability and high pressure capability. The solid lip area increases the radial interference for improved low-pressure sealing. They are commonly used with our MSR retainer rings.",30,50,0,14,0
41541,MUFN-26X40X9UWO,Metric Rod U-Seal W/Back-Up Rings,NBR 80 Duro Seal NEO-FAB Heel Acetyl Anti-Extrusion Rings,-22 to +212 F,"0-6,000 PSI","Incorporating a rubber seal lip, a rubberized fabric heel, and an acetyl back-up ring, this seal provides excellent seal ability and high extrusion resistance.",26,40,0,9,0
41550,MUSN-100X115X9,Metric Symmetrical U-Seal,Nitrile,-13 to +212 F,"0-2,000 PSI","Molded from 90A Nitrile, this seal provides high seal ability in a symmetrical design suitable for rods or pistons.",100,115,0,9,0
41651,MUSW-100X110X4.8,"Swivel Joint Seals, Hydraulic",Urethane,-50 to +220 F,0-5000 PSI,Molded in polyurethane. These rotary pressure seals are specifically designed for use in hydraulic swivel joints.,100,110,0,4.8,0
41661,MUU-100X115X12,Metric Symmetrical U-Seal,Urethane,-22 to +212 F,"0-5,000 PSI","Utilizing tough polyurethane, these seals possess excellent wear and abrasion resistance. Symmetrical in design, they can be used in rod or piston applications. E=European Urethane",100,115,0,12,0
41911,MUUL-100X115X9,Metric Loaded Symmetrical U-Seal,Urethane,-40 to +200 F,"0-5,000 PSI","Molded from tough polyurethane material, these seals offer high resistance to wear and abrasion. Energized with a four-lobed ring, they have greatly increased low pressure performance.",100,115,0,9,0
42068,MVS-100X115X30,Metric Vee Packing,Fabric/ Rubber Vee Rings Fabric/ Rubber or Acetyl Adaptors,-35 to +220 F,"0-5,000 PSI",Suffix: EI=Top adaptor has an internal anti-extrusion ring. DR= Dry-rod application. Pre-loaded male adaptor.,100,115,0,30,0
42150,MWR-100X15X3.15,Metric Wear Rings,Nylon,-40 to +275 F,"Compressive Strength =26,000 PSI Tensile Strength= 25,000 PSI","This wear ring is molded from glass reinforced nylon, This style is highly recommended because of their wear rate and non-scoring properties and their ability to ingest metal chips.",0,100,0,15,3.15
42348,MWRA-120X131X16-L,Metric Rod Brushing,Acetyl,-40 to 230 F,"Compressive Strength =26,000 PSI Tensile Strength= 25,000 PSI","Primarily a British design, this ring can be installed one or two in a groove. Excellent Wear characteristics.",120,131,0,16,0
42357,MWRB-100X12.5X3,Metric Wear Rings,Phenolic,-40 to +250 F,"Compressive Strength =34,000 PSI Tensile Strength= 10,600 PSI","Fabricated from fine woven fabric and Phenolic resins, this wear ring is strong yet light weight with an excellent wear rate.",0,100,0,12.5,3
42600,MWRT-100X14.8X4,Metric Wear Rings,Filled PTFE,-100 to +550 F,"Compressive Strength =1,700 PSI Tensile Strength= 2,200 PSI","Made from filled PTFE, these rings are suitable for light duty bearing service but are more often installed on the outboard ends of a piston to catch metal particles to protect the seal area.",0,100,0,14.8,4
42657,MWSCK-25X37X6,Metric Snap-In Wiper,Nitrile,-49 to +212 F,0-1500 PSI,"Molded in Nitrile, this double lipped wiper is common in Toyota lift trucks.",25,37,0,6,0
42662,MYBR-100X115.5X5.9,Metric Buffer Seals,Filled PTFE Buffer Rubber Energizer,-40 to +220 F,"0-5,000 PSI","Molded in PTFE with rubber energizer, this seal absorbs the shock of pressure spikes to protect the rod seal. This style relieves back pressure by way of slots on the pressure side of the energizer.",100,115.5,0,5.9,0
42680,MYR-100X115.5X5.9,Metric Buffer Seals,Urethane Buffer Nylon Back-up,-30 to +220 F,"0-7,000 PSI","Molded in urethane and employing a back-up, this seal absorbs the shock of pressure spikes to protect the rod seal. The unique design relieves back pressure between the buffer and the rod seal.",100,115.5,0,5.9,0
42883,OS-0.31X0.75X0.25VTF,Oil Seal,Rubber,-40 to +240 F,10 PSI Maximum,These seals are for rotating shafts and are specifically designed to prevent oil of grease leakage at a maximum pressure of 10 PSI.,0.3125,0.75,0,0.25,0
43152,MUFN-117X127X14BR-M-F,Metric Rod U-Seal W/Headers,"Rubber, Fabric, Polyester Elastomeric",-22 to +212 F,"1.64 FPS /3,600 PSI 0.49 FPS / 5,800 PSI","This is a single-acting rod seal designed for low and high pressure sealing and is commonly found in telescopic cylinders. The seal consists of a molded rubber sealing lip, rubberized fabric heel, and a polyester header for improved extrusion resistance.",117,130,0,14,0
43225,MPS-100X6X3.5,Metric Two Piece Piston Seals,PTFE Piston Seal Nitrile Energizer,-40 to +230 F,"0-5,000 PSI","Molded from filled PTFE and machined to close tolerance, theses seals feature low friction and excellent wear characteristics. Nitrile o-rings are used for energizers.",100,6,0,0,8.83
43332,MPSU-100X6X3.5,Metric Two Piece Piston Seals,"Glass/PTFE Filled Polyester Seal, Rubber Energizer",-40 to +230 F,"0-5,000 PSI","Molded from tough, wear resistance polyester with additives of 5% glass and 5% PTFE, these seals are totally interchangeable with style MPS seals of the same dimension. Nitrile o-rings are used as energizer.",0,100,0,8.83,8.83
43367,MKPD-100X84.5X6.3,Metric Two Piece Piston Seals,Urethane & Nitrile Expander,-22 to +210 F,"0-5,800 PSI","A double acting piston seal with many features: Two compact seal edges to concentrate the load against the dynamic surface, a cavity between the two external seal edges to retain fluids, side grooves to allow pressure to load the energizer in all working conditions, high sealing performance at low pressure, excellent wear-resistance, and high resistance against extrusion.",84.5,100,0,6.3,0
43380,MPS2000-100,Metric Two Piece Piston Seals,PTFE Piston Seal Nitrile Energizer,-40 to +230 F,"0-5,000 PSI","Molded from filled PTFE and machined to close tolerance, theses seals feature low friction and excellent wear characteristics. Nitrile o-rings are used for energizers.",0,95,0,7.9,12
43418,MSWE-100X115X9.5,Metric Snap-In Wipers,Urethane,-30 to +200 F,0-14.8 PSI,"Molded in urethane, this wiper is flexible enough to easily snap into a groove yet tough enough to handle difficult rod wiping application.",100,115,0,9.5,0
43480,MSWH-100X110X6,Metric Snap-In Wipers,Urethane,-30 to +200 F,0-14.8 PSI,"Molded in urethane, this wiper features a double lip which fluids that seeps by the rod seal from exiting the cylinder.",100,110,0,6,0
43551,MSWN-100X112X7,Metric Snap-In Wipers,Nitrile,-22 to +212 F,0-14.8 PSI,This medium duty wiper is molded in Nitrile rubber.,105,112,0,7,0
43580,MSWP-100X108X4,Metric Snap-In Wipers,Urethane,-30 to +220 F,0-14.8 PSI,This wiper features a lip on top of the shoulder which makes with the throat of the groove. This serves to prevent contaminants from entering the groove.,100,108,0,4,0
43611,MSWS-100X108X4,Metric Snap-In Wipers,Urethane,-30 to +200 F,0-14.8 PSI,This light duty wiper is molded in polyurethane and features a double-stepped shoulder to fit tightly in the glands throat.,100,108,0,4,0
44807,568-001,O-Ring,Buna-N Rubber,-40 to +240 F,Varies According to Diametric Clearance,AS568 Buna (Nitrile) 70 Durometer,0.312,0.937,0,0.0312,0.0312
45159,568-001V,O-Ring,Brown Fluorocarbon,-20 to +400 F,Varies According to Diametric Clearance,AS568 Viton Fluorocarbon 75 Durometer,0.312,0.937,0,0.0312,0.0312
80587,MRUN-100X115X10-2,Metric Rod U-Seals,Nitrile,-8 to +212 F,"0-2,000 PSI W/O Back-Up & 0-3,000 PSI W/ Back-Up","The MRUN rod u-seal is designed with improved oil resistance and compression set versus urethane seals. The addition of a u-seal back-up ring will increase the pressure range for the seal from 2,000 to 3,000 PSI",100,115,0,10,0
80616,MUU-100X115X12-2,Metric Symmetrical U-Seal,Urethane,-22 to +212 F,"0-5,000 PSI","Utilizing tough polyurethane, these seals possess excellent wear and abrasion resistance. Symmetrical in design, they can be used in rod or piston applications. E=European Urethane",100,115,0,12,0
80864,MUU-100X115X12-4,Metric Symmetrical U-Seal,Urethane,-22 to +212 F,"0-5,000 PSI","Utilizing tough polyurethane, these seals possess excellent wear and abrasion resistance. Symmetrical in design, they can be used in rod or piston applications. E=European Urethane",100,115,0,12,0
33088,PS1900-40,Non-Standard PTFE Piston Seals,Glass Filled PTFE Seal Rubber Energizer,-40 to +220 F,"0-5,000 PSI",These specifically sized seals are for certain OEM cylinder(primarily Heil & Timberjack).,0.00,2.50,0.00,0.25,0.09
33090,PS1900-40,Non-Standard PTFE Piston Seals,Glass Filled PTFE Seal Rubber Energizer,-40 to +220 F,"0-5,000 PSI",These specifically sized seals are for certain OEM cylinder(primarily Heil & Timberjack).,0.00,2.50,0.00,0.25,0.09
32518,6075,Piston Cups,Buna-N Rubber,-40 to +220 F,0-150 PSI,The 6000 piston cups are center punched if there is no hole size indicated.,0.63,0.88,0.00,0.17,
32520,6075,Piston Cups,Buna-N Rubber,-40 to +220 F,0-150 PSI,The 6000 piston cups are center punched if there is no hole size indicated.,0.63,0.88,0.00,0.17,
32583,9062-000F,Neo Fab Piston Cup,Cotton Fabric and Rubber,-35 to +220 F,"0-2,500 PSI",Piston ups are constructed of rubberized fabric. Cups with no hole are center punched.,0,0.625,0,0.3125,0.0937
37263,300-102,Non-Standard PTFE Piston Seals,Glass Filled PTFE Seal Rubber Energizer,-40 to +220 F,"0-5,000 PSI",These specifically sized seals are for certain OEM cylinder(primarily Heil & Timberjack).,0,2.5,0,0.245,0.092
33290,PSA-58-10000,Piston Seals,Fabric Reinforced Nitrile Seal    Poly acetyl Anti-Extrusion Ring,-22 to +212 F,"0-5,000 PSI","Style PSA-58 piston seals combine a heavy duty, fabric reinforced seal with two poly acetyl ""L"" bearings. This construction allows the seal to withstand pressures up to 5,000 PSI. ""L"" bearings also react to pressure to prevent extrusion and support the piston. For 2-Piece piston.",9,1,0,1.25,0
33354,PSA-58-10000,Piston Seals,Fabric Reinforced Nitrile Seal    Poly acetyl Anti-Extrusion Ring,-22 to +212 F,"0-5,000 PSI","Style PSA-58 piston seals combine a heavy duty, fabric reinforced seal with two poly acetyl ""L"" bearings. This construction allows the seal to withstand pressures up to 5,000 PSI. ""L"" bearings also react to pressure to prevent extrusion and support the piston. For 2-Piece piston.",9,1,0,1.25,0
33356,PSA-58-10000,Piston Seals,Fabric Reinforced Nitrile Seal    Poly acetyl Anti-Extrusion Ring,-22 to +212 F,"0-5,000 PSI","Style PSA-58 piston seals combine a heavy duty, fabric reinforced seal with two poly acetyl ""L"" bearings. This construction allows the seal to withstand pressures up to 5,000 PSI. ""L"" bearings also react to pressure to prevent extrusion and support the piston. For 2-Piece piston.",9,1,0,1.25,0
33113,PS2700-40,Polyurethane Piston Ring,"Glass/ PTFE Filled Polyester Seal ,  Rubber Energizer",-40 to +220 F,"0-5,000 PSI","This seal, molded from high grade polyester with 5% glass fiber and 5% PTFE, may retrofit the PS1800 seal, considering all dimension are comparable. This seal material, with high degree of memory, stretches over piston and snaps in the groove for immediate assembly. These seals also feature low friction and high abrasion and extrusion resistance which helps to eliminate assembly damage.",2.19,2.5,0,0.116,0.067
33098,PS2700-104,Polyurethane Piston Ring,"Glass/ PTFE Filled Polyester Seal ,  Rubber Energizer",-40 to +220 F,"0-5,000 PSI","This seal, molded from high grade polyester with 5% glass fiber and 5% PTFE, may retrofit the PS1800 seal, considering all dimension are comparable. This seal material, with high degree of memory, stretches over piston and snaps in the groove for immediate assembly. These seals also feature low friction and high abrasion and extrusion resistance which helps to eliminate assembly damage.",5.75,6.5,0,0.362,0.137
33100,PS2700-104,Polyurethane Piston Ring,"Glass/ PTFE Filled Polyester Seal ,  Rubber Energizer",-40 to +220 F,"0-5,000 PSI","This seal, molded from high grade polyester with 5% glass fiber and 5% PTFE, may retrofit the PS1800 seal, considering all dimension are comparable. This seal material, with high degree of memory, stretches over piston and snaps in the groove for immediate assembly. These seals also feature low friction and high abrasion and extrusion resistance which helps to eliminate assembly damage.",5.75,6.5,0,0.362,0.137
